Session;Game;Subject;seqscore;yhscore;glscore;selfglscore;boydscore;text;finanketa
8;92;3;4;2;1;4;2;было сложно подстраиваться под игроков, не всегда была понятна их логика и стратегия. Хорошо что в последующих играх была введена система штрафов, что позволило игрокам как то рационально использовать ресурсы не превышая допустимого значения.;
8;93;4;5;1;4;2;3;Механизм последовательного распределения однзначно не применим, т.к. агенты могут завышать свои заявки, а адекватной проверки заявок или системы штрафов нет. Механизм Г-Л с полными зявками считаю наиболее применимым, т к мы проставляем заявку не только себе, но и другим агентам, тем самым проще понять тенденцию изменения распределения ресурсов и в полной мере сформировать свою стратегию.( к тому же проработана система штрафов);
8;93;5;2;1;3;3;4;Механизм Гровса-Лейдярда с собственными запасами и механизм ADMM имеют главный недостаток- возможность нерационального поведения игрока для получения максимального выигрыша в дальнейшем, но от данных действий страдает вся система. Механизм Гровса-Лейдяра с полными запасами, как мне кажется, является наиболее оптимальным, так как рынок самостоятельно приходит к равновесию, та же картина наблюдается и в механизме последовательного распределения.;
8;93;6;5;3;2;1;4;Наибольшую сложность представляли механизмы, в которых твой результат зависел от действий других игроков. К сожалению не всегда игроки стремились к консенсусу, пытаясь максимизировать свой личный результат. Резкое изменение и не последовательность действий игроков,приводило к затруднениям в выборе стратегии.;
8;94;7;5;2;5;1;2;1. Механизм последовательного распределение считаю не подходящим для решения проблемы распределения ресурсов, поскольку в большинстве случаев заявка агента не имеет значения, поскольку является очень чато завыщенной по сравнению со средним значением, а назначается последнее.\r\n2. Механизм Гроваса-Лейдярда с полными заявкми является наиболее сложной, ввиду необходимсоти принятия решения по распределению ресурсов не только себе, но и другим агентам, что в свою очередь затрудняет процесс рассчета оптимального значения для себя и уменьшает возможность получения большей полезности из-за назначенных штрафов\r\n3. Механизм ADMM не позволяет объяснить с экономической точки зрения, поченму возможно установление заявки, во много раз превыщающей допустимые запасы ресурса, при этом агент остается победителем\r\n4. Механизм Гровоса-Лейдерда с собственными заявками: считаю наиболе оптимальным механизм, поскольку по сравнению с пред. модификацией исключает необходимость установления заявок для других агентов, что облегчает процессс принятия решений и помогает более точно просчитать свой результат\r\n5. Механзм проп. распределения считаю хорошим метдом, поскольку ответсвенность за завышение заявки несет и агент ,завыщающий ее, что останавливает его от принтия подобного решения;
8;94;8;5;4;3;4;1;Наиболее подходящим механизмом распределения ресурсов мне показался механизм пропорционального распределения, так как он позволил прийти к оптимальному для всех игроков решению и не позволяет получить значимый выигрыш игрокам с агрессивной стратегией. Самое сильное влияние на стратегию игрока оказали штрафы при данном механизме , а также механизма ADMM. Однако слабыми сторонами механизма ADMM является несбалансированность штрафов и высокая чувствительность к действию одного игрока. При использовании механизма Гровса-Лейдяра с полными заявками возможно возникновение одного лидера на рынке, подавляющего других игроков, что , на мой взгляд неприемлемо. Механизм же Гровса-Лейдяра с собственными заявками, по большей части, устраняет этот недостаток,но результат игры в исключительной степени будет зависеть от действия игроков на последнем шаге.;
8;94;9;2;1;5;3;4;"1) Механизм послед.распр.\r\nФактически обеспечивает распределение поровну, \""без обездоленных\"", однако не обеспечивает оптимальное распределение по Парето и приблизительно равную полезность участников.\r\n2) Мех-м Гровса-Лейдярда\r\nИграть интересно, наиболее понравилось. Изначально имея наибольшую эффективность, обеспечила максимальный заказ и дополнительную ренту за \""угаданное\"" лучше других распределение. Удобно формировать желаемые заявки.\r\nНо раверство полезности не обеспечивает.\r\n3) Механизм ADMM\r\nХарактеризуется слишком сильной зависимостью от действий другого игрока, который может серьезно снизить выигрыш других.\r\n4) Мех-м Г.-Л. с собственными заявками\r\nМенее удобен, чем 2й. Нет возможности \""балансировать\"" заявки для других участников.\r\n5) Мех-м пропорционального распр-я\r\nОбеспечивает приблизительно равное распределение. Т.е. результат аналогичен 1-му мех-му, но с участников дополнительно взимается штраф. Также достаточно сильна зависимость от других игроков.";
7;78;1;5;5;2;2;5;Не играли по механизмам: Мехинизм последовательного распределения, Механизм пропорционального распределения;
7;78;2;4;3;2;1;4;  ;
7;78;3;4;3;5;5;2;;
7;79;4;4;1;5;3;2;Механизм с полными заявками слишком трудозатратный - слишком сложно ориентироваться по заявкам других игроков и выставлять их, механизм последовательного же слишком прост.;
7;79;5;2;4;4;3;5;1;
7;79;6;4;3;5;5;1;!!!!Не играл в Механизм Гровса-Лейдярда с полными заявками и в механизм Гровса-Лейдярда с собственными заявками.;
5;55;10;5;4;2;1;3;;0
5;53;6;4;3;5;1;2;;0
5;53;4;5;4;1;2;3;;0
5;52;1;5;4;1;2;3;;0
